area,name,other_names,group,term,start_date,end_date,source
Barnet and Camden,Brian Coleman,,Conservative Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
Bexley and Bromley,Robert Neill,Bob Neill,Conservative Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
Brent and Harrow ,Toby Harris,,Labour Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
City and East,John Biggs,,Labour Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
Croydon and Sutton,Andrew Pelling,,Conservative Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
Ealing and Hillingdon,Richard Barnes,,Conservative Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
Enfield and Haringey,Nicky Gavron,,Labour Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
Greenwich and Lewisham,Leonard Duvall,,Labour Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
Havering and Redbridge,Roger Evans,,Conservative Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
Lambeth and Southwark,Valerie Shawcross,,Labour Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
Merton and Wandsworth,Elizabeth Howlett,,Conservative Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
North East,Meg Hillier,,Labour Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
South West,Tony Arbour,,Conservative Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
West Central,Angela Bray,,Conservative Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,Sally Hamwee,,Liberal Democrat,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,Darren Johnson,,Green Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,Graham Tope,,Liberal Democrat,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,Victor Anderson,,Green Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,Lynne Featherstone,,Liberal Democrat,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,Trevor Phillips,,Labour Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,Samantha Heath,,Labour Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,Louise Bloom,,Liberal Democrat,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,Jenny Jones,,Green Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,David Lammy,,Labour Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
London,Eric Ollerenshaw,,Conservative Party,1,,,https://www.londonelects.org.uk/im-voter/election-results/results-2000
Barnet and Camden,Brian Coleman,,Conservative Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
Bexley and Bromley,Robert Neill,Bob Neill,Conservative Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
Brent and Harrow ,Robert Blackman,Bob Blackman,Conservative Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
City and East,John Biggs,,Labour Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
Croydon and Sutton,Andrew Pelling,,Conservative Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
Ealing and Hillingdon,Richard Barnes,,Conservative Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
Enfield and Haringey,Joanne McCartney,,Labour Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
Greenwich and Lewisham,Len Duvall,,Labour Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
Havering and Redbridge,Roger Evans,,Conservative Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
Lambeth and Southwark,Valerie Shawcross,,Labour Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
Merton and Wandsworth,Elizabeth Howlett,,Conservative Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
North East,Jennette Arnold,,Labour Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
South West,Tony Arbour,,Conservative Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
West Central,Angela Bray,Angie Bray,Conservative Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Lynne Featherstone,,Liberal Democrat,2,,2005-06-06,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Geoff Pope,,Liberal Democrat,2,2005-06-06,,https://en.wikipedia.org/wiki/Geoff_Pope_(politician)
London,Jenny Jones,,Green Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Graham Tope,,Liberal Democrat,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Nicholas Hockney,Damian Hockney,UK Independence Party,2,,2005-01-31,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Nicholas Hockney,Damian Hockney,Veritas,2,2005-01-31,2005-09-01,https://en.wikipedia.org/wiki/Damian_Hockney
London,Nicholas Hockney,Damian Hockney,One London,2,2005-09-01,,https://en.wikipedia.org/wiki/Damian_Hockney
London,Sally Hamwee,,Liberal Democrat,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Darren Johnson,,Green Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Mike Tuffrey,,Liberal Democrat,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Peter Cross,Peter Hulme Cross,UK Independence Party,2,,2005-09-01,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Peter Cross,Peter Hulme Cross,UK Independence Party,2,2005-09-01,,https://en.wikipedia.org/wiki/Peter_Hulme-Cross
London,Nicky Gavron,,Labour Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Murad Qureshi,,Labour Party,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
London,Dee Doocey,,Liberal Democrat,2,,,https://www.londonelects.org.uk/im-voter/election-results/results-2004
Barnet and Camden,Brian Coleman,,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
Bexley and Bromley,James Cleverly,,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
Brent and Harrow ,Navin Shah,,Labour Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
City and East,John Biggs,,Labour Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
Croydon and Sutton,Stephen O'Connell,Steve O'Connell,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
Ealing and Hillingdon,Richard Barnes,,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
Enfield and Haringey,Joanne McCartney,,Labour Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
Greenwich and Lewisham,Leonard Duvall,,Labour Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
Havering and Redbridge,Roger Evans,,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
Lambeth and Southwark,Valerie Shawcross,,Labour Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
Merton and Wandsworth,Richard Tracey,,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
North East,Jenenette Arnold,,Labour Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
South West,Tony Arbour,,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
West Central,Kit Malthouse,,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
London,Mike Tuffrey,,Liberal Democrat,3,,,https://www.londonelects.org.uk/node/124/results-2008
London,Jenny Jones,,Green Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
London,Dee Doocey,,Liberal Democrat,3,,,https://www.londonelects.org.uk/node/124/results-2008
London,Richard Barnbrook,,British National Party,3,,2010-08-13,https://www.londonelects.org.uk/node/124/results-2008
London,Richard Barnbrook,,Independent,3,2010-08-13,,https://www.theguardian.com/politics/2010/aug/13/richard-barnbrook-bnp-resigns-whip
London,Darren Johnson,,Green Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
London,Nicky Gavron,,Labour Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
London,Andrew Boff,,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
London,Caroline Pidgeon,,Liberal Democrat,3,,,https://www.londonelects.org.uk/node/124/results-2008
London,Victoria Borwick,,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
London,Murad Qureshi,,Labour Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
London,Gareth Bacon,,Conservative Party,3,,,https://www.londonelects.org.uk/node/124/results-2008
Barnet and Camden,Andrew Hartley Dismore,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
Bexley and Bromley,James Spencer Cleverly,,Conservative Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
Brent and Harrow ,Navin Shah,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
City and East,John Robert Biggs,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
Croydon and Sutton,Stephen John O'Connell,,Conservative Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
Ealing and Hillingdon,Onkar Singh Sahota,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
Enfield and Haringey,Joanne McCartney,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
Greenwich and Lewisham ,Len Duvall,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
Havering and Redbridge,Roger Evans,,Conservative Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
Lambeth and Southwark,Val Shawcross,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
Merton and Wandsworth,Richard Patrick Tracey,,Conservative Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
North East,Jennette Arnold,Jeanette Arnold,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
South West ,Tony Arbour,,Conservative Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
West Central ,Kit Malthouse,,Conservative Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Jenny Jones,,Green Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Darren Johnson,,Green Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Victoria Borwick,,Conservative Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Caroline Pidgeon,,Liberal Democrat,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Murad Qureshi,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Tom Copley,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Nicky Gavron,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Gareth Bacon,,Conservative Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Stephen Knight,,Liberal Democrat,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Andrew Boff,,Conservative Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
London,Fiona Twycross,,Labour Party,4,,,https://www.londonelects.org.uk/im-voter/election-results/results-2012
