id,name,wikidata,birth_date
57fed160-66a8-4daa-a9fc-0322b40ee898, Alex Cole-Hamilton , Q24045406,1977-07-22
c5551922-dbd1-4804-b58d-7a546e84576a, Alexander Stewart , Q24052680,1962-11-29
1079c664-6e1b-4d2c-8b02-1f2106f1d160, Andy Wightman , Q19667404,1963-05-29
88be7c68-18b0-4a55-b6fb-8f7aae9242f0, Annie Wells , Q24052671,1972-02-24
9af503f6-1850-4f3d-99b0-2cb955e431ac, Ash Denham , Q24052667,1974-03-08
c727fbd9-3e5b-4677-b74b-868994a54947, Ben Macpherson , Q24052665,1984
1aa5f5ac-0635-4a57-bf96-cfa6404ed842, Cameron Buchanan , Q16107237,1946-09
d6bfedb2-1c84-464c-9053-d61a6e938210, Clare Haughey , Q24025938,
114ccf84-6453-44a7-8ac3-b1a57271291c, Colin Smyth , Q24036539,
cc7bf3a8-e733-4764-abe3-914693d2eed5, Daniel Johnson , Q24052669,
ff10e1c4-ee3a-43eb-a136-a07a9af9c701, Dean Lockhart , Q24052679,
ca00e8c6-93f1-4fef-b8a3-81f05e4dc13c, Donald Cameron , Q24052673,1976-11-26
a82f486e-40db-4df7-b554-f7de18b26b6a, Douglas Ross , Q24039769,1983-04-09
45511ff1-c5c7-4674-a7f5-26591110842b, Drew Smith , Q1258767,
ce6317a5-55c6-4b8f-a218-755467a84cd7, Edward Mountain , Q24039768,1961-03-19
22b5768b-7b8b-4e3f-b896-d7c7ae47521c, Emma Harper , Q24034416,
3285071d-0bba-420d-8173-a521386a60f9, Finlay Carson , Q24034357,1967-10-18
f09fe6a3-9acd-443f-94d1-4ca629bb8895, Fulton MacGregor , Q24052668,
f7b75aa6-aeda-4cbd-b6ae-746a49fcdb68, Gail Ross , Q23982037,
7993467b-bf8e-4bfe-a3c9-42cdd4770f51, Gillian Martin , Q24014282,
725cf566-26ca-492a-8880-d455cab6a9b8, Gordon Lindhurst , Q24034371,
6465d8c8-9d25-482e-ac4f-471e7abbed06, Graham Simpson , Q24039900,
d25820f4-bacf-4f6e-8193-9153c82c08fb, Ivan McKee , Q24052670,1963-09
fd6c2fca-54ac-4a63-90e2-f56b74033737, Jamie Greene , Q24039791,1980-03-19
c03f5e1d-3b77-4358-b595-eceb462f96f9, Jeane Freeman , Q16250806,1953
4c31a72f-4dab-458e-8963-f7f5b7f93b49, Jenny Gilruth , Q24026044,1984
92236e8c-1819-4e31-9004-a88b3da2065d, Jeremy Balfour , Q24052677,1967-03-11
671519f2-e977-4320-865a-15440802450d, Kate Forbes , Q24039479,1990-04-06
109664e1-add7-4de6-878e-1cfe0af753ad, Lesley Brennan , Q22131946,
7584943f-49bd-43a6-9370-6f5c99879f3b, Liam Kerr , Q24052676,1975-01-23
60227b3d-9991-4881-a2aa-c0ce6f1ba3c2, Lloyd Quinan , Q1486950,1957
ae4372c0-e866-4291-a3e6-90954facc361, Mairi Evans , Q24014894,
7c980635-6489-4ec5-87ff-d953c9cc3b6f, Maree Todd , Q24034387,
87a0e641-8cbd-47de-a898-ceb3372bbfc4, Maurice Corry , Q24039805,1950-06
37e3bcfd-4659-4220-9ec4-6b40433aa5e7, Maurice Golden , Q24039803,1980-01-12
82d9cf13-9af7-418d-85ec-5b3892c1aba8, Miles Briggs , Q24052672,1983-03-30
d9c6dde7-f2be-4dca-a645-0f4f1d02d526, Monica Lennon , Q24039899,1981-01
9fc5eb84-4ab7-4900-8ae1-c5a865f4ee7a, Oliver Mundell , Q24034308,1989-12-01
20bc766a-d3d5-4208-8cec-55de0364e95a, Rachael Hamilton , Q24034267,1970-09
9236de2f-301a-46c8-856d-56fccef1b78a, Richard Leonard , Q24039896,1962
fde159e6-c4b1-442c-b2fc-5d35a188104c, Rona Mackay , Q24039795,
dd3b9044-e321-446b-a518-19f91343e60d, Ruth Maguire , Q24034376,
