id,area,name,other_names,gender,group,term,start_date,end_date,source
,Delyn,Alison Halford,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales West,Alun Cairns,,male,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales West,Alun Cairns,,male,Welsh Conservative Party,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales West,Alun Cairns,,male,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Mid and West Wales,Alun Davies,,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Arfon,Alun Ffred Jones,Alun Jones,male,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Caernarfon,Alun Ffred Jones,Alun Jones,male,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Clwyd West,Alun Pugh,,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Clwyd West,Alun Pugh,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Swansea West,Andrew Davies,,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Swansea West,Andrew Davies,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Swansea West,Andrew Davies,,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales Central,Andrew R. T. Davies,Andrew RT Davies,male,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Carmarthen West and South Pembrokeshire,Angela Burns,,female,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Vale of Clwyd,Ann Jones,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Vale of Clwyd,Ann Jones,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Vale of Clwyd,Ann Jones,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales West,Bethan Jenkins,,female,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Aberavon,Brian Gibbons,,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Aberavon,Brian Gibbons,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Aberavon,Brian Gibbons,,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Islwyn,Brian Hancock,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,North Wales,Brynle Williams,Brynie Williams,female,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,North Wales,Brynle Williams,Brynie Williams,female,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Alyn and Deeside,Carl Sargeant,,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Alyn and Deeside,Carl Sargeant,,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Bridgend,Carwyn Jones,Carwyn Howell Jones,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Bridgend,Carwyn Jones,Carwyn Howell Jones,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Bridgend,Carwyn Jones,Carwyn Howell Jones,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Llanelli,Catherine Thomas,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales Central,Chris Franks,Christopher Franks,male,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Cynon Valley,Christine Chapman,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Cynon Valley,Christine Chapman,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Cynon Valley,Christine Chapman,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Carmarthen West and Pembrokeshire South,Christine Gwyther,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Carmarthen West and Pembrokeshire South,Christine Gwyther,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Mid and West Wales,Cynog Dafis,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Meirionnydd Nant Conwy,Dafydd Elis-Thomas,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Dwyfor Meirionnydd,Dafydd Elis-Thomas,,male,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Caernarfon,Dafydd Wigley,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Clwyd West,Darren Millar,,male,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Monmouth,David Davies,,male,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Monmouth,David Davies,,male,Welsh Conservative Party,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,North Wales,David Jones,,male,Welsh Conservative Party,1,2002-09-10,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales West,David Lloyd,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales West,David Lloyd,,male,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales Central,David Melding,,male,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales Central,David Melding,,male,Welsh Conservative Party,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales Central,David Melding,,male,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales West,David Lloyd,David Rhys Lloyd,male,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Mid and West Wales,Delyth Evans,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Conwy,Denise Idris Jones,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Gower,Edwina Hart,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Gower,Edwina Hart,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Gower,Edwina Hart,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
